"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","1","2","1.7","0.4","-"
"2",1,"Saquon Barkley",PHI,"RB1","1","6","1.9","1.4","-"
"3",1,"Justin Jefferson",MIN,"WR2","3","5","3.5","0.6","-"
"4",2,"Bijan Robinson",ATL,"RB2","1","6","4.3","1.7","-"
"5",2,"CeeDee Lamb",DAL,"WR3","3","8","4.9","1.3","-"
"6",2,"Puka Nacua",LAR,"WR4","5","8","6.1","1.0","-"
"7",2,"Jahmyr Gibbs",DET,"RB3","5","8","7.1","1.2","-"
"8",2,"Amon-Ra St. Brown",DET,"WR5","5","9","7.4","1.4","-"
"9",3,"Nico Collins",HOU,"WR6","6","11","9.3","1.4","-"
"10",3,"Malik Nabers",NYG,"WR7","7","16","11.2","2.3","-"
"11",3,"Brian Thomas Jr.",JAC,"WR8","10","15","11.4","1.4","-"
"12",3,"De'Von Achane",MIA,"RB4","8","19","12.2","2.8","-"
"13",3,"Derrick Henry",BAL,"RB5","11","14","12.7","0.9","-"
"14",3,"Josh Jacobs",GB,"RB6","13","22","15.4","2.4","-"
"15",3,"A.J. Brown",PHI,"WR9","11","18","15.5","1.5","-"
"16",4,"Jonathan Taylor",IND,"RB7","10","37","17.9","7.2","-"
"17",4,"Bucky Irving",TB,"RB8","14","26","18.7","3.2","-"
"18",4,"Drake London",ATL,"WR10","18","29","21.8","2.6","-"
"19",4,"Kyren Williams",LAR,"RB9","16","33","22.5","4.5","-"
"20",4,"Brock Bowers",LV,"TE1","11","27","22.6","4.4","-"
"21",4,"Tyreek Hill",MIA,"WR11","19","31","22.9","4.3","-"
"22",4,"Tee Higgins",CIN,"WR12","19","36","23.0","4.8","-"
"23",4,"Josh Allen",BUF,"QB1","17","35","23.5","5.8","-"
"24",4,"Jaxon Smith-Njigba",SEA,"WR13","21","31","24.3","2.8","-"
"25",4,"Lamar Jackson",BAL,"QB2","17","36","25.5","5.7","-"
"26",4,"Terry McLaurin",WAS,"WR14","20","34","25.5","3.8","-"
"27",4,"Trey McBride",ARI,"TE2","22","28","26.4","1.6","-"
"28",4,"Ladd McConkey",LAC,"WR15","20","35","26.8","4.5","-"
"29",5,"Mike Evans",TB,"WR16","21","39","29.2","3.9","-"
"30",5,"Christian McCaffrey",SF,"RB10","18","45","32.9","7.0","-"
"31",5,"Jayden Daniels",WAS,"QB3","29","61","33.7","8.2","-"
"32",5,"Garrett Wilson",NYJ,"WR17","30","45","33.9","5.3","-"
"33",5,"Davante Adams",NYJ,"WR18","31","46","34.5","3.8","-"
"34",5,"Breece Hall",NYJ,"RB11","19","45","34.9","8.9","-"
"35",5,"James Cook",BUF,"RB12","22","42","35.1","6.3","-"
"36",5,"Chase Brown",CIN,"RB13","16","49","37.7","8.8","-"
"37",5,"Rashee Rice",KC,"WR19","28","63","38.1","9.1","-"
"38",5,"Jalen Hurts",PHI,"QB4","29","60","38.1","8.1","-"
"39",5,"DJ Moore",CHI,"WR20","35","50","38.9","5.1","-"
"40",6,"Zay Flowers",BAL,"WR21","35","59","42.5","6.7","-"
"41",6,"Courtland Sutton",DEN,"WR22","38","53","43.1","5.1","-"
"42",6,"Joe Mixon",HOU,"RB14","23","63","43.4","10.4","-"
"43",6,"George Pickens",PIT,"WR23","39","53","44.0","4.3","-"
"44",6,"Joe Burrow",CIN,"QB5","34","62","45.5","7.3","-"
"45",6,"DK Metcalf",SEA,"WR24","39","62","46.3","6.4","-"
"46",6,"George Kittle",SF,"TE3","38","57","46.4","4.7","-"
"47",6,"Chuba Hubbard",CAR,"RB15","39","55","48.1","4.7","-"
"48",6,"Jordan Addison",MIN,"WR25","43","59","48.6","4.6","-"
"49",6,"Kenneth Walker III",SEA,"RB16","35","55","49.3","6.0","-"
"50",6,"Marvin Harrison Jr.",ARI,"WR26","38","68","51.1","7.6","-"
"51",6,"Alvin Kamara",NO,"RB17","36","67","52.0","8.4","-"
"52",6,"Jameson Williams",DET,"WR27","44","67","52.0","6.1","-"
"53",6,"James Conner",ARI,"RB18","33","63","53.4","8.0","-"
"54",7,"Chris Olave",NO,"WR28","41","69","56.0","7.4","-"
"55",7,"Sam LaPorta",DET,"TE4","48","60","56.1","3.5","-"
"56",7,"Patrick Mahomes II",KC,"QB6","51","92","59.5","13.3","-"
"57",7,"DeVonta Smith",PHI,"WR29","54","64","59.6","2.6","-"
"58",7,"Jerry Jeudy",CLE,"WR30","43","80","59.8","10.6","-"
"59",7,"Jaylen Waddle",MIA,"WR31","50","74","60.1","4.8","-"
"60",7,"David Montgomery",DET,"RB19","46","69","61.2","8.1","-"
"61",7,"Chris Godwin",TB,"WR32","44","75","61.9","8.6","-"
"62",7,"Isiah Pacheco",KC,"RB20","49","76","62.1","6.8","-"
"63",7,"Baker Mayfield",TB,"QB7","51","91","63.3","12.7","-"
"64",7,"Tyrone Tracy Jr.",NYG,"RB21","55","71","65.7","5.5","-"
"65",7,"Tony Pollard",TEN,"RB22","62","76","68.9","3.4","-"
"66",7,"Brandon Aiyuk",SF,"WR33","62","82","69.1","6.7","-"
"67",7,"Jared Goff",DET,"QB8","58","104","69.4","15.4","-"
"68",7,"Aaron Jones Sr.",MIN,"RB23","61","76","70.3","4.0","-"
"69",7,"Jordan Love",GB,"QB9","58","113","72.8","18.0","-"
"70",7,"T.J. Hockenson",MIN,"TE5","57","81","73.3","5.8","-"
"71",8,"Calvin Ridley",TEN,"WR34","65","88","75.4","5.4","-"
"72",8,"J.K. Dobbins",LAC,"RB24","68","92","76.7","5.3","-"
"73",8,"Xavier Worthy",KC,"WR35","56","101","76.7","12.5","-"
"74",8,"Mark Andrews",BAL,"TE6","65","85","77.0","4.3","-"
"75",8,"Brian Robinson Jr.",WAS,"RB25","69","110","77.1","9.0","-"
"76",8,"Deebo Samuel Sr.",SF,"WR36","58","132","78.7","17.7","-"
"77",8,"Justin Herbert",LAC,"QB10","58","117","81.3","16.2","-"
"78",8,"Rome Odunze",CHI,"WR37","59","114","81.6","13.3","-"
"79",8,"Kyler Murray",ARI,"QB11","70","96","81.6","9.0","-"
"80",8,"Najee Harris",PIT,"RB26","75","102","83.1","7.6","-"
"81",8,"Bo Nix",DEN,"QB12","58","119","83.3","13.3","-"
"82",8,"Jonnu Smith",MIA,"TE7","69","94","84.3","5.6","-"
"83",8,"Brock Purdy",SF,"QB13","60","115","86.1","14.1","-"
"84",8,"Ashton Jeanty",FA,"RB27","15","77","43.9","20.3","-"
"85",8,"D'Andre Swift",CHI,"RB28","81","102","87.7","5.1","-"
"86",8,"Travis Kelce",KC,"TE8","63","100","87.7","11.1","-"
"87",8,"Khalil Shakir",BUF,"WR38","80","104","88.7","5.7","-"
"88",8,"Jayden Reed",GB,"WR39","80","139","89.4","13.8","-"
"89",8,"David Njoku",CLE,"TE9","70","96","89.8","7.2","-"
"90",8,"Jakobi Meyers",LV,"WR40","81","109","89.9","5.8","-"
"91",8,"Rico Dowdle",DAL,"RB29","76","128","92.9","14.1","-"
"92",8,"Anthony Richardson",IND,"QB14","70","146","93.0","20.4","-"
"93",8,"Rhamondre Stevenson",NE,"RB30","74","119","96.1","13.4","-"
"94",9,"Evan Engram",JAC,"TE10","89","110","97.8","5.5","-"
"95",9,"Tank Bigsby",JAC,"RB31","88","117","98.2","7.6","-"
"96",9,"Tucker Kraft",GB,"TE11","90","110","100.1","4.0","-"
"97",9,"Cooper Kupp",LAR,"WR41","72","133","101.9","17.4","-"
"98",9,"Jalen McMillan",TB,"WR42","84","114","102.0","6.7","-"
"99",9,"Stefon Diggs",HOU,"WR43","93","115","102.1","5.5","-"
"100",9,"Travis Etienne Jr.",JAC,"RB32","97","117","102.4","7.1","-"
"101",9,"Tua Tagovailoa",MIA,"QB15","72","118","104.7","10.8","-"
"102",9,"Caleb Williams",CHI,"QB16","82","146","104.8","19.3","-"
"103",9,"Josh Downs",IND,"WR44","87","114","104.9","7.8","-"
"104",9,"Jaylen Warren",PIT,"RB33","88","134","105.1","11.0","-"
"105",9,"Keenan Allen",CHI,"WR45","98","126","107.0","7.1","-"
"106",9,"Amari Cooper",BUF,"WR46","95","163","110.1","15.0","-"
"107",9,"Dak Prescott",DAL,"QB17","82","149","111.7","14.7","-"
"108",9,"Dalton Kincaid",BUF,"TE12","85","160","111.9","18.0","-"
"109",9,"Michael Pittman Jr.",IND,"WR47","94","136","112.3","10.6","-"
"110",9,"C.J. Stroud",HOU,"QB18","82","170","112.6","23.4","-"
"111",9,"Darnell Mooney",ATL,"WR48","97","139","113.4","9.3","-"
"112",9,"Rachaad White",TB,"RB34","86","140","114.9","11.8","-"
"113",9,"Dallas Goedert",PHI,"TE13","97","144","116.5","11.5","-"
"114",9,"Zach Charbonnet",SEA,"RB35","90","143","119.9","13.3","-"
"115",9,"Tyjae Spears",TEN,"RB36","114","142","120.3","7.4","-"
"116",9,"Keon Coleman",BUF,"WR49","105","161","121.1","11.9","-"
"117",9,"Jake Ferguson",DAL,"TE14","105","172","123.6","20.0","-"
"118",9,"Nick Chubb",CLE,"RB37","77","156","123.9","16.3","-"
"119",10,"Sam Darnold",MIN,"QB19","107","191","127.1","25.1","-"
"120",10,"Jauan Jennings",SF,"WR50","89","164","127.3","19.5","-"
"121",10,"Trevor Lawrence",JAC,"QB20","112","158","128.3","11.3","-"
"122",10,"Quentin Johnston",LAC,"WR51","118","168","128.7","12.4","-"
"123",10,"Drake Maye",NE,"QB21","83","171","113.4","25.1","-"
"124",10,"Rashid Shaheed",NO,"WR52","102","147","130.8","10.2","-"
"125",10,"Austin Ekeler",WAS,"RB38","118","161","133.9","13.4","-"
"126",10,"Ricky Pearsall",SF,"WR53","108","164","135.6","13.7","-"
"127",10,"DeAndre Hopkins",KC,"WR54","120","195","137.4","18.3","-"
"128",10,"Kyle Pitts",ATL,"TE15","110","199","140.1","24.9","-"
"129",10,"Matthew Stafford",LAR,"QB22","128","175","140.3","14.9","-"
"130",10,"Hunter Henry",NE,"TE16","111","161","140.5","13.6","-"
"131",10,"Christian Kirk",JAC,"WR55","123","164","143.3","14.0","-"
"132",10,"Javonte Williams",DEN,"RB39","110","154","129.2","14.8","-"
"133",10,"Bryce Young",CAR,"QB23","132","198","145.6","21.0","-"
"134",10,"Romeo Doubs",GB,"WR56","127","167","147.9","12.4","-"
"135",10,"Pat Freiermuth",PIT,"TE17","123","225","148.7","24.3","-"
"136",10,"Blake Corum",LAR,"RB40","124","151","134.3","9.3","-"
"137",10,"Tyler Allgeier",ATL,"RB41","129","174","139.2","12.0","-"
"138",10,"Michael Penix Jr.",ATL,"QB24","118","177","140.4","15.2","-"
"139",10,"Tetairoa McMillan",FA,"WR57","72","250","124.1","47.8","-"
"140",10,"Ray Davis",BUF,"RB42","128","152","141.8","6.4","-"
"141",10,"Jerome Ford",CLE,"RB43","123","175","143.3","16.4","-"
"142",10,"Jaleel McLaughlin",DEN,"RB44","113","161","145.1","15.0","-"
"143",10,"Adam Thielen",CAR,"WR58","119","203","159.9","23.6","-"
"144",10,"Geno Smith",SEA,"QB25","146","213","160.3","20.1","-"
"145",10,"Cole Kmet",CHI,"TE18","132","234","160.4","25.9","-"
"146",10,"Rashod Bateman",BAL,"WR59","121","163","147.1","12.7","-"
"147",10,"Jordan Mason",SF,"RB45","126","191","147.6","17.4","-"
"148",10,"Omarion Hampton",FA,"RB46","77","224","131.8","35.6","-"
"149",10,"Braelon Allen",NYJ,"RB47","136","161","149.1","7.6","-"
"150",10,"Marquise Brown",KC,"WR60","101","175","149.2","25.2","-"
"151",11,"TreVeyon Henderson",FA,"RB48","79","226","135.5","35.7","-"
"152",11,"Jaylen Wright",MIA,"RB49","130","186","153.0","12.4","-"
"153",11,"Marvin Mims Jr.",DEN,"WR61","135","165","154.1","11.1","-"
"154",11,"Trey Benson",ARI,"RB50","124","179","154.7","15.9","-"
"155",11,"Cedric Tillman",CLE,"WR62","115","208","155.6","22.2","-"
"156",11,"Zach Ertz",WAS,"TE19","126","225","169.9","27.9","-"
"157",11,"Quinshon Judkins",FA,"RB51","77","232","140.2","38.6","-"
"158",11,"Cade Otton",TB,"TE20","143","209","170.6","21.3","-"
"159",11,"Diontae Johnson",FA,"WR63","141","214","159.1","18.0","-"
"160",11,"Tyler Warren",FA,"TE21","97","203","149.4","37.1","-"
"161",11,"Audric Estime",DEN,"RB52","144","227","168.9","20.7","-"
"162",11,"Luther Burden III",FA,"WR64","82","254","154.5","38.0","-"
"163",11,"Emeka Egbuka",FA,"WR65","112","252","156.7","33.3","-"
"164",11,"Dalton Schultz",HOU,"TE22","157","227","185.7","19.9","-"
"165",11,"Cam Ward",FA,"QB26","112","272","160.1","36.5","-"
"166",11,"Isaac Guerendo",SF,"RB53","156","168","160.2","3.4","-"
"167",11,"Shedeur Sanders",FA,"QB27","133","251","162.9","27.3","-"
"168",11,"MarShawn Lloyd",GB,"RB54","149","205","179.9","15.7","-"
"169",11,"Denver Broncos",DEN,"DST1","150","330","167.7","47.8","-"
"170",11,"Xavier Legette",CAR,"WR66","164","219","184.7","15.3","-"
"171",11,"Adonai Mitchell",IND,"WR67","164","183","171.9","4.6","-"
"172",11,"Alec Pierce",IND,"WR68","162","199","185.9","10.9","-"
"173",11,"Taysom Hill",NO,"TE23","111","258","198.1","39.0","-"
"174",11,"Isaiah Likely",BAL,"TE24","140","245","198.2","28.5","-"
"175",11,"Roschon Johnson",CHI,"RB55","142","231","188.8","25.2","-"
"176",11,"DeMario Douglas",NE,"WR69","167","220","191.4","13.2","-"
"177",11,"Colston Loveland",FA,"TE25","111","228","179.5","38.6","-"
"178",11,"Sincere McCormick",LV,"RB56","162","242","179.6","18.9","-"
"179",11,"Pittsburgh Steelers",PIT,"DST2","160","327","181.0","43.0","-"
"180",11,"Philadelphia Eagles",PHI,"DST3","160","333","181.3","44.1","-"
"181",12,"Michael Wilson",ARI,"WR70","169","233","184.7","16.8","-"
"182",12,"Kimani Vidal",LAC,"RB57","147","240","197.7","25.6","-"
"183",12,"Baltimore Ravens",BAL,"DST4","160","335","185.4","44.4","-"
"184",12,"Kayshon Boutte",NE,"WR71","166","218","198.2","11.7","-"
"185",12,"Chig Okonkwo",TEN,"TE26","147","228","209.5","22.2","-"
"186",12,"Kansas City Chiefs",KC,"DST5","170","328","186.0","41.4","-"
"187",12,"Derek Carr",NO,"QB28","176","241","201.0","28.1","-"
